title,genres,links
Mighty Joe Young,"['Adventure', 'Fantasy', 'Drama', 'Action', 'Science Fiction']",/hOqS7kauoEYQ09XkiMu8QOgNoBU.jpg
Patch Adams,"['Comedy', 'Drama']",/2T0Mj8gkTXgciedz8W5nsnjCHig.jpg
Stepmom,"['Drama', 'Romance']",/57TqKdh9rnXgxqiuF2U97HNaOh2.jpg
A Civil Action,['Drama'],/81TGgmcObcfL6jcjPsU1n4n9THI.jpg
Hurlyburly,"['Comedy', 'Drama']",/zPIYrJX7yTtFGxrlorSX3FTYseo.jpg
Tea with Mussolini,"['Comedy', 'Drama', 'War']",/zdjO9Ji3Yqn6ZDe7VwtdQ4F9G8f.jpg
Wilde,"['Drama', 'History']",/kHz267QPNMtKJnVkZ9DGkDRWv7G.jpg
Outside Ozona,"['Thriller', 'Comedy', 'Drama', 'Romance']",/rY9x2IuUyiup1o1sQXrIkEu76l0.jpg
Affliction,['Drama'],/xsdsTbD2yZO8obl5Z8sRnMhjsX1.jpg
Another Day in Paradise,"['Thriller', 'Crime', 'Drama']",/hDv9bepgQGSWoyhRUgegSzPL7tL.jpg
The Hi-Lo Country,"['Drama', 'Action', 'Western', 'Romance']",/dRV0aqhalPHVRwHKHTsj36QVhTR.jpg
Hilary and Jackie,"['Music', 'Drama']",/2a3ZmHS7IrOGG46hrbSS3qJJk6d.jpg
Playing by Heart,['Drama'],/2j4ABlRueaSI7fWBcl9vAiFPHQD.jpg
24 7: Twenty Four Seven,"['Comedy', 'Drama', 'Romance']",/bRaQtgsKSXAL0ea8MZ26bIyJs1T.jpg
At First Sight,"['Drama', 'Romance']",/3noBOQroTjMWAYhlku95Y06v5C5.jpg
In Dreams,"['Drama', 'Thriller']",/sNTZu5YTyDn75TOX7Y8qMG7mqcs.jpg
Varsity Blues,"['Comedy', 'Drama', 'Romance']",/nnVA3Nmry9furen0NDmJa0QTn2F.jpg
Virus,"['Horror', 'Action', 'Science Fiction']",/5Np88iigCfnXvMlMKmCcbPVIbYQ.jpg
The Garbage Pail Kids Movie,"['Adventure', 'Science Fiction', 'Comedy']",/xMgUWvNclNqUmedJyMHboZKIaUw.jpg
Howard the Duck,"['Comedy', 'Fantasy', 'Science Fiction']",/f2pj3SSj1GdFSrS5bUojT56umL6.jpg
The Gate,"['Horror', 'Fantasy']",/AqNA6BMyf4jBDcGPLZf2PTmhSFc.jpg
The Gate II: Trespassers,['Horror'],/yuuq5cL4bzGS20kokvCL4HEcEx.jpg
The Boy Who Could Fly,"['Drama', 'Family', 'Fantasy', 'Science Fiction']",/3oso2pYofHjVvPYeQ6JOJmoXQSM.jpg
The Fly,"['Drama', 'Horror', 'Science Fiction']",/jA6GYQDuR0RV99sWcjCzz8gcbHB.jpg
The Fly,"['Horror', 'Science Fiction']",/q49tjSe3O152t9QVwaradePGu7W.jpg
The Fly II,"['Horror', 'Science Fiction', 'Thriller']",/zoIWGWVMCbkmsVieP99br9ZC8yY.jpg
Running Scared,"['Thriller', 'Action', 'Comedy', 'Crime']",/2LoovCuL3mP7deokeMlqtZRMq1v.jpg
Armed and Dangerous,"['Action', 'Comedy', 'Crime']",/5pO6QI7zKYDbic1ULYQkZ7VLV18.jpg
The Texas Chain Saw Massacre,['Horror'],/hXF5nuEvUIlMXv4fOCIhA8KWaN2.jpg
The Texas Chainsaw Massacre 2,['Horror'],/1EI0Qs6AhtxdamRBsFC4zm2I6sj.jpg
Leatherface: Texas Chainsaw Massacre III,"['Horror', 'Thriller']",/6NmMY1e7P9bkb0I1srDuV6fjIzt.jpg
Texas Chainsaw Massacre: The Next Generation,"['Horror', 'Comedy', 'Thriller']",/eSg1yVW3R2iIj5WqMvua5MQeJsF.jpg
Ruthless People,['Comedy'],/nH0nq1Nk7jTlZv1aj7SnspMJyQy.jpg
Trick or Treat,"['Horror', 'Music']",/21ouEk4YP3kwmghiIjplbyayK3l.jpg
Deadly Friend,"['Horror', 'Science Fiction']",/cLuIQDB0SjvptANfLTpNxs9tXcP.jpg
Belizaire the Cajun,"['Romance', 'Drama', 'History']",/6Nm19lP4RfS8vmhaaqaBfqqicN8.jpg
The Name of the Rose,"['Drama', 'Thriller', 'Mystery']",/dk3Vmp86t4lacnI3sQuU9ihOCUh.jpg
Jumpin' Jack Flash,"['Romance', 'Comedy', 'Thriller']",/nZcBdD3HRA6PPvfDY9UL0PWS5hi.jpg
Peggy Sue Got Married,"['Comedy', 'Drama', 'Fantasy', 'Romance']",/hr3IcU519Ha5ADGuRLfhHlOi937.jpg
Crocodile Dundee,"['Adventure', 'Comedy']",/uQyFHP0BBQcOVAbfpmiTnj5rKDm.jpg
Crocodile Dundee II,"['Adventure', 'Comedy']",/m8DRsyNMD1pzWIgOb7X6XN7R3y0.jpg
Tough Guys,"['Comedy', 'Crime']",/zAXFmIRTSPkQbyTVSZa1GUtCQD9.jpg
The Color of Money,['Drama'],/xBFzAIDqlvyDIy5Zf5ASVz3kHwN.jpg
52 Pick-Up,"['Crime', 'Drama', 'Thriller']",/vNSp1QB0mJtBVCDtcb4UY0mNYAB.jpg
Heartbreak Ridge,"['Action', 'Comedy', 'Drama', 'War']",/hbKkfRpjtoCYabxEmhklM6MhF7g.jpg
Firewalker,"['Action', 'Adventure', 'Comedy']",/v8DC9qUY6KNF4tqYq7agbwFqR78.jpg
??Three Amigos!,"['Comedy', 'Western']",/zuTwahw966MoFwD7B2SFujaT5yp.jpg
Gloria,"['Drama', 'Action', 'Thriller', 'Crime']",/j7aJcmRm9bkSFhRHN0mIOleixOn.jpg
My Name Is Joe,"['Drama', 'Romance']",/2sVJSEZRczNiz9YIbnE5OVIkaHo.jpg
Still Crazy,"['Comedy', 'Music']",/xCIPFFTSr84SxiU8BaEmpVxDCNZ.jpg
The Day of the Beast,"['Action', 'Comedy', 'Horror', 'Crime']",/jZLvcv73dNd4WjiY86hRo7p1wCW.jpg
She's All That,"['Comedy', 'Romance']",/2kWpjQ3O6DZywdIoPlvXCk3T91P.jpg
The 24 Hour Woman,"['Comedy', 'Romance']",/AmUR4UDDuY2t1EhENw5iB46JaNg.jpg
Peeping Tom,"['Horror', 'Thriller']",/tJyGgOLDLDhJkUEI4wSoD4eO7n4.jpg
Payback,"['Drama', 'Action', 'Thriller', 'Crime']",/6wvtqAKsMso4oKTCmAlKtV2W0Zy.jpg
Simply Irresistible,['Comedy'],/mBPCJOotTzUBVdQzC4yFpchCzwS.jpg
20 Dates,"['Romance', 'Comedy']",/9VpMRZCUtfdCg47I2uI8EgYorLg.jpg
Comedian Harmonists,"['Music', 'Drama']",/2NgC92vmBbf7BXIB0ZRUHywZV0v.jpg
The Last Days,"['Documentary', 'Drama', 'History', 'War']",/yAjtrBR42qz6QmSCoPa7TKEId8o.jpg
Fantastic Planet,"['Animation', 'Fantasy', 'Science Fiction']",/8nVG28GNX5kEJUaUKpMBCCTHc2p.jpg
Blast from the Past,"['Comedy', 'Romance']",/chljpiLSV7XAuKjYTQl3a7w39p8.jpg
Message in a Bottle,"['Romance', 'Drama']",/majQar87QNbrC47qYMcmK1oCohZ.jpg
My Favorite Martian,"['Comedy', 'Drama', 'Family', 'Science Fiction']",/k1wWEHxXLTHXjiBghhPqDYRBuDn.jpg
Jawbreaker,['Comedy'],/pjgsvVxxMR2DjjCyeHMoMJLzXds.jpg
October Sky,"['Drama', 'Family']",/oeFdjM0P3DMIKOloApLAn96GHiM.jpg
Office Space,"['Comedy', 'Crime']",/iO9aZzrfmMvm3IqkFiQyuuUMLh2.jpg
200 Cigarettes,"['Comedy', 'Drama', 'Romance']",/dQoRvGDAFYrmzc9gwNJ7gXlL5Xw.jpg
8MM,"['Thriller', 'Crime', 'Mystery']",/oEgBIcIJb1Z5sperKxE8Pb4tTr0.jpg
The Other Sister,"['Comedy', 'Drama', 'Romance']",/bIqYI0DrUhtbWv7SI1KSP6bk8q5.jpg
Breakfast of Champions,['Comedy'],/oOEkGtAcysCV1pJAB3qFlOG76hj.jpg
Eight Days a Week,"['Comedy', 'Drama', 'Romance']",/jMK6jJB8eoY0OsH2M75X32ZlxRi.jpg
Just the Ticket,"['Comedy', 'Romance']",/bjIhtZCJL7prIQeUSNxYpS3Tn8L.jpg
The Long Goodbye,"['Thriller', 'Crime', 'Drama', 'Mystery']",/gPOuGW8hIMhs7JvyxcZiSHuvy3C.jpg
The Ballad of Narayama,['Drama'],/ewYZmeoqzE5XsL0Jlcorlu9iwGe.jpg
Pet Sematary,"['Drama', 'Horror']",/9zUax4pjRgoPIJla9CQejqNJofB.jpg
Pet Sematary II,['Horror'],/iaWnUo0RNDMg3uGSVrFtvlxH7EB.jpg
Children of the Corn II: The Final Sacrifice,['Horror'],/lqFb8Mnx9tFPUevnfbz9o2adLFw.jpg
Children of the Corn III: Urban Harvest,"['Thriller', 'Horror']",/Ajp5lVNAW0Kfi3uUlCCpIri28B8.jpg
Christine,['Horror'],/eIFakrk7xLwiNNoiottTBN5EIwy.jpg
Night Shift,['Comedy'],/qLijlmE6AJjpCU8f2L7wshoR8HE.jpg
House on Haunted Hill,"['Drama', 'Horror', 'Thriller']",/fnlPkYlVXrWUkQsVa8Y2tkFoPQq.jpg
Airport,"['Action', 'Drama', 'Thriller']",/lKRsOCB1FlZYD7tYPHValBAqmwm.jpg
Airport 1975,"['Action', 'Adventure', 'Drama', 'Thriller']",/53M89n1LDl20ZCAhqEadjTVc0Ml.jpg
Airport '77,"['Action', 'Adventure', 'Drama', 'Thriller']",/n1fD62w5v1v698LfAkbVSrwSqYJ.jpg
Rollercoaster,"['Action', 'Thriller']",/vxMbWDWGUeuSWm3KB9pIyDIFVEW.jpg
The Towering Inferno,"['Action', 'Thriller']",/atGCmFz8L5KmmVmP4kFcrS1vCyd.jpg
Alligator,"['Horror', 'Science Fiction', 'Thriller']",/xGdzbwVDnTu3WwOtrFjI8qDfoLU.jpg
Meteor,"['Action', 'Science Fiction', 'Thriller']",/bEtEIOtliMJmEijCo4m9wzNK5cD.jpg
Westworld,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction', 'Thriller', 'Western']",/cOJsaT8jEmG9s1MziVIPpHBRpQ7.jpg
Logan's Run,"['Adventure', 'Action', 'Romance', 'Science Fiction']",/iBtkwot48QkgYpPfjceCgyK1Rhz.jpg
Planet of the Apes,"['Science Fiction', 'Adventure', 'Drama', 'Action']",/lj3k2LU4LYpQA3gfJM3uqo7HCf7.jpg
Beneath the Planet of the Apes,"['Adventure', 'Science Fiction', 'Mystery']",/qnJ2trS7tcHxmG4KIUMgAbIM9DG.jpg
Battle for the Planet of the Apes,"['Action', 'Science Fiction']",/jCxeJhN5yGWH7veXCGNrBT93L3R.jpg
Conquest of the Planet of the Apes,"['Action', 'Science Fiction']",/wxanhJ9ZuZ05P4J2hkC1M1rA0dv.jpg
Escape from the Planet of the Apes,"['Action', 'Science Fiction']",/yOnN43HdxvV5h5U4qsGIfeUL0Zv.jpg
Avalanche,"['Action', 'Adventure', 'Drama']",/dnTXKBwUyyeDYGXz5PccaO4zYuL.jpg
Earthquake,"['Action', 'Drama', 'Thriller']",/dlMwsiC1jtJ2hRmIJOZCDjr2xRy.jpg
The Concorde... Airport '79,"['Action', 'Drama', 'Thriller']",/30xbGwjqVsIkIFc1N7ss55RKDZB.jpg
Beyond the Poseidon Adventure,"['Action', 'Adventure', 'Drama']",/tzqtaIk0OuO47eUV2d6xO8kGmm8.jpg
Analyze This,"['Comedy', 'Crime']",/eqa4TEgkx63WRhqyD8eTwmL7bUi.jpg
The Corruptor,"['Action', 'Crime', 'Mystery', 'Thriller']",/lVUA7xehGn4j0lYHDqOJtJVbWhT.jpg
Cruel Intentions,"['Drama', 'Romance', 'Thriller']",/6RQu0J2u7viDa34Nn98sKaHv5jD.jpg
"Lock, Stock and Two Smoking Barrels","['Comedy', 'Crime']",/qV7QaSf7f7yC2lc985zfyOJIAIN.jpg
Six Ways to Sunday,['Comedy'],/kjzgBO1WzbfUdzKe2NwQ4gCFyyM.jpg
The School of Flesh,"['Romance', 'Drama', 'Mystery']",/o8ZxuZLMR5fLOk6dZUWgoJ14AOd.jpg
The Deep End of the Ocean,"['Drama', 'Mystery']",/iUBMUUqBMPRQ7fCOtCsmBaFBPCB.jpg
The Rage: Carrie 2,"['Horror', 'Thriller', 'Science Fiction']",/hW82RCgBkup7nWjd4foZNevLSmu.jpg
Wing Commander,"['Action', 'Science Fiction']",/pdNhh937iErsAzR6h7pt2mQmclO.jpg
The Haunting,"['Mystery', 'Horror', 'Thriller']",/gWXqJJTNwRCkuj9HEIsI9douVPf.jpg
Dead Ringers,"['Drama', 'Horror', 'Thriller']",/9ZGBwiWIvN9KmHaLeSS5it44G21.jpg
My Boyfriend's Back,"['Comedy', 'Romance']",/me2PB6nN4ICUFOGWEnhZH8iuF9y.jpg
Village of the Damned,"['Horror', 'Science Fiction']",/aDrN9hVBFUQ7jpZvupfDeCHVcar.jpg
Children of the Damned,"['Science Fiction', 'Thriller']",/fjIiCQJRIpJTGUW4A8jSPqIIkH1.jpg
Baby Geniuses,"['Science Fiction', 'Comedy', 'Family']",/jQfj2mST2uRbRbYG8qKcdqb6JCM.jpg
I Stand Alone,"['Drama', 'Thriller']",/6VsYFr7gsNfGMyiji4tyObEvxzD.jpg
Forces of Nature,"['Romance', 'Comedy']",/g1w3I72XTZ604Luhv8MEpTLLoU7.jpg
The King and I,"['Animation', 'Drama', 'Family']",/zUMBSExtVELo0zLuDoYKhTsYsag.jpg
Ravenous,"['Comedy', 'Horror', 'Thriller', 'Western']",/spwvStEA4CraTXPOcONrDzncXOZ.jpg
True Crime,"['Crime', 'Drama']",/xo48IGurAJOJfG29Vp32JglZGPk.jpg
Bandits,"['Action', 'Drama', 'Foreign']",/yWNaWKcF3wPWXloyrp88FSNptxW.jpg
Dangerous Beauty,"['Drama', 'Romance']",/vSGDmTsjaD2yZrS73nUJ4ikPqjQ.jpg
The King and I,"['Drama', 'Music', 'Romance']",/jyAMSLdJymJ9xObCfZFXZFGFz8m.jpg
Doug's 1st Movie,"['Animation', 'Family', 'Comedy']",/lfRCuIMTueGfGot654yc9PlVhrL.jpg
Edtv,['Comedy'],/sF3YBtYn6yAHMPDbiC58WArIWMl.jpg
The Mod Squad,"['Action', 'Mystery', 'Thriller']",/7c20VEblNKkDiBuA6bE6kbeHqHa.jpg
Among Giants,"['Comedy', 'Romance']",/ugTs1SDHUAsBuCpdrCDKTC2kHeK.jpg
A Walk on the Moon,"['Drama', 'Romance']",/prNgf4ZHzkAp8Rl8KsaKMHOfDOs.jpg
The Matrix,"['Action', 'Science Fiction']",/hEpWvX6Bp79eLxY1kX5ZZJcme5U.jpg
10 Things I Hate About You,"['Comedy', 'Romance', 'Drama']",/paS5plbzKz3PYddxky6svYYz3hS.jpg
Tango,"['Drama', 'Foreign', 'Romance']",/ngW0tkg7hmPQAZsfCC419GJxZ3O.jpg
The Out-of-Towners,['Comedy'],/zIEx8ttLYzfiyTS2PzcvRbYbL0j.jpg
Metroland,"['Comedy', 'Drama']",/xQZ5jhnFXu9p7uHk7Ebtm6eiBSi.jpg
Following,"['Crime', 'Drama', 'Thriller']",/uoWnnSlUIWjqUXxfIej3ucAxg7J.jpg
Go,"['Crime', 'Comedy', 'Thriller']",/kr1nz11EILLPdRmn51jtvvBQrWL.jpg
Never Been Kissed,"['Romance', 'Comedy', 'Drama']",/1F9EAhEQxa0I5Pa5Z10hWIBFS3r.jpg
Twin Dragons,"['Comedy', 'Action']",/vl7aI8rWk9MoRp9j6VagrRZFxRM.jpg
Cookie's Fortune,"['Comedy', 'Drama', 'Thriller']",/cK6okfIpLFczwudOJQfgiWWNG4Q.jpg
Foolish,"['Comedy', 'Drama']",/2uOoAVhjKvKlI923SUnUkL7lO9H.jpg
Lovers of the Arctic Circle,"['Drama', 'Mystery', 'Romance']",/4HRUZYCAXN1W3C0qgJpAWbp7nNo.jpg
Goodbye Lover,"['Thriller', 'Comedy', 'Crime', 'Mystery']",/3lNQLHILeYX26FlHTjj4UPTEc21.jpg
Life,"['Comedy', 'Crime']",/c9phL8FXuL7i15CrjQH5PfM60NB.jpg
Friends & Lovers,"['Comedy', 'Romance', 'Drama']",/6Guv2hSbNrsBUj0oKrPhrHAgGe9.jpg
Hideous Kinky,"['Romance', 'Drama']",/kT0whcFasVTs0puS3Fjtjqk1k8o.jpg
The Monster,['Comedy'],/frhnN2qMeZ3qoAjKiL0ieIlonj7.jpg
Open Your Eyes,"['Drama', 'Thriller']",/vREkQPEO2M1WdtYfwPUTH2M4XQJ.jpg
Photographer,"['TV Movie', 'History', 'Documentary', 'War']",/aThUBdtZGGxBluUzEhd1LEkBqjA.jpg
SLC Punk,"['Crime', 'Romance', 'Comedy', 'Drama', 'Music']",/v3Ho0MeyhN5y4itc8Q5YLBHTOhe.jpg
Lost & Found,"['Comedy', 'Romance']",/jaylLo7TsJrJriNVGf72Asen1Fr.jpg
Pushing Tin,"['Comedy', 'Drama']",/A33xLPsTIgT7tN3E5UWfVURFlPV.jpg
Election,['Comedy'],/4RHyF1v1n4iodWzHG4m7XkGcJVB.jpg
eXistenZ,"['Action', 'Thriller', 'Science Fiction', 'Horror']",/jvuRnlZvfUnleAZj8g75q4VZedm.jpg
The Mighty Peking Man,"['Science Fiction', 'Action', 'Fantasy']",/nRVrv8FyuVjK6BW9jGsYpKQQI23.jpg
Entrapment,"['Romance', 'Drama', 'Mystery']",/6IKmjW52qeMXx8xXMdX6RRshmY0.jpg
Idle Hands,"['Thriller', 'Comedy', 'Horror']",/lActBgdxuILDSgwtngkNKD7oMEn.jpg
Heaven,"['Crime', 'Thriller']",/rqMSkolEGtdQSrLoxTrpyR9qJiH.jpg
The King of Masks,['Drama'],/w9c6qw4TiOP5oY9zlh2UL5zyoQ4.jpg
Three Seasons,"['Drama', 'Foreign']",/56wzqMNbNaN3ZXIC4oVriQliXjd.jpg
The Winslow Boy,['Drama'],/3N2vi3rERIKJOhQ0OzgNi8er197.jpg
Mildred Pierce,"['Crime', 'Drama']",/WP1oQxIyGAIVfavlXcxkucCZAO.jpg
Night of the Comet,"['Comedy', 'Horror', 'Science Fiction']",/zYGwNFXeGr5pqD1hvBYJjYLsBxL.jpg
Chopping Mall,"['Horror', 'Science Fiction']",/iRiRrCtR3c4vU03QsVZKOwNhNTZ.jpg
My Science Project,"['Comedy', 'Family', 'Fantasy', 'Science Fiction']",/fLknudxoi1qSNnvtOlNSYRYL8Hq.jpg
Dick Tracy,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",/4UfKEGnj9jPWV11LNKBXTgge3We.jpg
The Mummy,"['Adventure', 'Action', 'Fantasy']",/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg
The Castle,"['Drama', 'Comedy']",/lvzFyEoojIMOgsZyl3HYDApti43.jpg
This Is My Father,"['Drama', 'Romance']",/zsshQg6eGxrjqZ93NHVl6ZjIYSu.jpg
A Midsummer Night's Dream,"['Fantasy', 'Drama', 'Comedy', 'Romance']",/2pWSszXVEPPClWzy8yir1FVEveN.jpg
Trippin',"['Comedy', 'Romance']",/cR2rHbeUkTRe4UkzRldTEwWjgQQ.jpg
After Life,"['Fantasy', 'Drama']",/5edwcfe4szCQU6Mq8rPS667Yv7g.jpg
Black Mask,['Action'],/8WC5elsMSUSKKKOTub2jjY2k4w3.jpg
Edge of Seventeen,"['Comedy', 'Drama', 'Romance']",/qsyG50KDdfxPZxVSLrNmlwWBgWm.jpg
Star Wars: Episode I - The Phantom Menace,"['Adventure', 'Action', 'Science Fiction']",/n8V09dDc02KsSN6Q4hC2BX6hN8X.jpg
The Love Letter,"['Comedy', 'Drama', 'Romance']",/fzu0xVGfi0yGEtAgVv8WoTLdToh.jpg
Besieged,"['Drama', 'Romance']",/e0WeMiSyULbRHt33gkpnYgLrTRq.jpg
Frogs for Snakes,"['Thriller', 'Comedy', 'Crime']",/zHt1LIyMRlb100X50AblxXsqhEq.jpg
The Saragossa Manuscript,"['Comedy', 'Drama', 'Fantasy', 'Mystery']",/j3w1Jq3JdxsmmplUejAT1wpivnR.jpg
The Mummy,['Horror'],/wg3QJlByvMCAC8dKIAXO63FXanD.jpg
The Mummy,['Horror'],/w3XEtgi8W9tuPQnLVFCPVxtweyC.jpg
The Mummy's Curse,['Horror'],/qGhh5YPh2IG6kjmS7bH7nJvmLxC.jpg
The Mummy's Ghost,['Horror'],/eRNWTjYXkUQvqopfgz8DvHolxWA.jpg
The Mummy's Hand,['Horror'],/xk3tHwDCV1wtu2sgsPIUQtMuV3K.jpg
The Mummy's Tomb,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",/wuaqpLGb5PHpUGUCmQwyS5EVLdw.jpg
Mommie Dearest,['Drama'],/vPwWgX1SzLRm6Tqhj9102Mg5kkz.jpg
Superman,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",/n2DOECThGG7h7m5AjLi2Nuh23u1.jpg
Superman II,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",/uvxjXSfph2FD07A2jBG9NHJnl27.jpg
Superman III,"['Comedy', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",/pDjfBk3YkdvRK2VERvoHaXJdNxF.jpg
Superman IV: The Quest for Peace,"['Action', 'Adventure', 'Science Fiction']",/q1P6UHWdrtZNkmdnoprV0ILfLlr.jpg
Dracula,['Horror'],/hA9kQrIwDHJKl1pt8GpJdDnBzim.jpg
House of Dracula,"['Horror', 'Science Fiction']",/ieMOOhBTWAoEx55egV7L3VXvRUq.jpg
House of Frankenstein,"['Fantasy', 'Horror', 'Science Fiction', 'Thriller']",/qzhYjNFri8KaaC0JGuFkWO4xmJH.jpg
Frankenstein,"['Drama', 'Horror', 'Science Fiction']",/wB58wlBAr6484Wm6VyFDqSD8VOJ.jpg
Son of Frankenstein,"['Horror', 'Science Fiction']",/bmJ0SwZGsTjN03EAwscBxuLRH4e.jpg
The Ghost of Frankenstein,"['Fantasy', 'Horror', 'Science Fiction']",/xGrbBmWlRa70JsER3zrlup4d2k8.jpg
Frankenstein Meets the Wolf Man,"['Fantasy', 'Horror', 'Science Fiction']",/n250rz42W9trz6vXhCLVhEoXdhL.jpg
The Curse of Frankenstein,"['Horror', 'Science Fiction']",/f4dwXdeZFHzLKMNgKGe46RWsMmM.jpg
Son of Dracula,"['Fantasy', 'Horror']",/fFEqccFp2sfZYXMDbtspvrpzr7X.jpg
The Wolf Man,"['Horror', 'Drama']",/5AoLvk8r0egU8bY5FFXiYw1XPeb.jpg
Howling II: Stirba - Werewolf Bitch,"['Thriller', 'Horror']",/eJmzZuyYFgBMea9ynhg4cs0hJGy.jpg
Tarantula,"['Horror', 'Science Fiction', 'Thriller']",/gPjlVSys2CJP1aQKXnhj4kKDxrB.jpg
The Rocky Horror Picture Show,"['Comedy', 'Horror', 'Music', 'Science Fiction']",/v2NC7o8f7AZvQbOAwrfRbe5Z106.jpg
The Flying Saucer,"['Thriller', 'Science Fiction']",/fk2sVtesehLfp0jL01joPBEcJhJ.jpg
